,book title,ratings,avg_score,author,score,votes
310,"Come Away with Me (With Me in Seattle, #1)","61,226",3.91,Kristen Proby,"2,008,",28
311,"Wildalone (Wildalone Sagas, #1)","4,174",3.38,Krassi Zourkova,"1,999,",20
312,Mistress Suffragette,"4,833",4.29,Diana   Forbes,"1,998,",22
313,"Yours Truly, Taddy (The Undergrad Years, #2; Invitation to Eden, #1)",768,3.69,Avery Aster,"1,997,",20
314,Three Fates,"22,925",4.08,Nora Roberts,"1,993,",27
315,"The Unbecoming of Mara Dyer (Mara Dyer, #1)","171,010",4.03,Michelle Hodkin,"1,986,",25
316,"Night Pleasures (Dark-Hunter, #1)","77,342",4.20,Sherrilyn Kenyon,"1,978,",29
317,"Take This Regret (Take This Regret, #1)","24,463",4.02,Amy Lichtenhan,"1,965,",24
318,"Half-Blood (Covenant, #1)","97,357",4.11,Jennifer L. Armentrout,"1,964,",27
319,"A Lot like Love (FBI/US Attorney, #2)","32,130",4.06,Julie James,"1,954,",31
320,A Town Like Alice,"55,204",4.15,Nevil Shute,"1,949,",33
321,"Love on the Line (Women at Work, #1)","4,255",4.28,Kirsten Fullmer,"1,944,",23
322,"The Darkest Lie (Lords of the Underworld, #6)","35,019",4.29,Gena Showalter,"1,924,",24
323,"Glitter Baby (Wynette, Texas, #3)","12,089",3.74,Susan Elizabeth Phillips,"1,921,",37
324,Stolen Soulmate (Crowne Point #2),"3,012",4.20,Mary Catherine Gebhard,"1,900,",19
325,Son of the Morning,"7,654",3.98,Linda Howard,"1,877,",29
326,"The Beast in Him (Pride, #2)","15,027",4.23,Shelly Laurenston,"1,859,",22
327,"Visions of Heat (Psy-Changeling, #2)","38,482",4.08,Nalini Singh,"1,856,",26
328,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)","1,358,464",4.20,Sarah J. Maas,"1,856,",22
329,The Nanny Song,784,4.22,Misty Mount,"1,846,",20
330,Looking for Alaska,"1,463,780",3.98,John Green,"1,838,",25
331,Corelli's Mandolin,avg,really,Louis de Bernières,"1,834,",36
332,"Lover Enshrined (Black Dagger Brotherhood, #6)","113,948",4.11,J.R. Ward,"1,828,",29
333,Frederica,"20,950",4.19,Georgette Heyer,"1,816,",32
334,Just Listen,"243,859",4.05,Sarah Dessen,"1,811,",24
335,"Rush (Breathless, #1)","76,968",3.90,Maya Banks,"1,802,",25
336,True Betrayals,"13,646",4.03,Nora Roberts,"1,786,",24
337,Much Ado About Nothing,"234,350",4.06,William Shakespeare,"1,785,",35
338,Nights in Rodanthe,"166,264",3.84,Nicholas Sparks,"1,782,",22
339,Katherine,"32,332",4.19,Anya Seton,"1,749,",21
340,"While It Lasts (Sea Breeze, #3)","56,614",4.23,Abbi Glines,"1,742,",23
341,"The Marriage Trap (Marriage to a Billionaire, #2)","29,634",3.89,Jennifer Probst,"1,739,",22
342,"Beautiful Player (Beautiful Bastard, #3)","69,149",4.27,Christina Lauren,"1,730,",24
343,"On the Way to the Wedding (Bridgertons, #8)","100,789",3.84,Julia Quinn,"1,728,",25
344,"Losing Hope (Hopeless, #2)","156,282",4.25,Colleen Hoover,"1,726,",24
345,"The Grunt 1 (The Lonely Hearts, #3)","2,742",4.12,Latrivia S. Nelson,"1,722,",36
346,The Blue Castle,"38,345",4.29,L.M. Montgomery,"1,711,",29
347,"It's in His Kiss (Bridgertons, #7)","117,875",4.01,Julia Quinn,"1,710,",24
348,"Demon from the Dark (Immortals After Dark, #9)","46,202",4.44,Kresley Cole,"1,708,",25
349,"Bully (Fall Away, #1)","171,898",3.92,Penelope Douglas,"1,698,",23
350,Beyond Nostalgia,450,3.57,Tom Winton,"1,695,",17
351,"Rising Tides (Chesapeake Bay Saga, #2)","33,024",4.16,Nora Roberts,"1,694,",25
352,"Nauti Boy (Nauti, #1)","10,679",4.04,Lora Leigh,"1,685,",20
353,A Bend in the Road,"149,908",4.04,Nicholas Sparks,"1,685,",34
354,"It Ends with Us (It Ends with Us, #1)","2,212,886",4.30,Colleen Hoover,"1,684,",22
355,"Surrender (MacKinnon’s Rangers,  #1)","6,499",4.05,Pamela Clare,"1,678,",20
356,"Beautiful Stranger (Beautiful Bastard, #2)","88,521",4.15,Christina Lauren,"1,678,",25
357,"Down to You (The Bad Boys, #1)","66,171",4.03,Michelle Leighton,"1,677,",24
358,"Avoiding Commitment (Avoiding, #1)","31,918",3.83,K.A. Linde,"1,669,",20
359,"Love, Rosie","125,588",3.94,Cecelia Ahern,"1,668,",19
360,Honest Illusions,"16,170",4.04,Nora Roberts,"1,664,",23
361,"Slade (New Species, #2)","21,984",4.19,Laurann Dohner,"1,661,",20
362,"Losing It (Losing It, #1)","105,069",3.73,Cora Carmack,"1,655,",23
363,"When He Was Wicked (Bridgertons, #6)","138,794",4.01,Julia Quinn,"1,647,",23
364,"For the Roses (Rose, #1)","14,462",4.05,Julie Garwood,"1,645,",22
365,"The Winter Sea (Slains, #1)","63,775",4.10,Susanna Kearsley,"1,639,",22
366,Open Season,"20,293",4.01,Linda Howard,"1,634,",24
367,"Moon Called (Mercy Thompson, #1)","197,996",4.15,Patricia Briggs,"1,623,",22
368,"Opposites Attract (First Comes Love, #1)","4,373",3.83,Camilla Isley,"1,596,",16
369,"The Dark Highlander (Highlander, #5)","36,708",4.28,Karen Marie Moning,"1,595,",22
370,"Trust: A New Beginning (Trust Trilogy, #1)","2,753",3.54,Cristiane Serruya,"1,595,",16
371,"Whispers in the Dark (KGI, #4)","16,617",4.31,Maya Banks,"1,592,",21
372,"Eleven Scandals to Start to Win a Duke's Heart (Love By Numbers, #3)",avg,really,Sarah MacLean,"1,592,",22
373,"Neanderthal Seeks Human (Knitting in the City, #1)","62,338",3.90,Penny Reid,"1,592,",19
374,"Forsaken (The Secret Life of Amy Bensen, #3)","2,556",4.08,Lisa Renee Jones,"1,581,",16
375,"To Die For (Blair Mallory, #1)",avg,really,Linda Howard,"1,572,",21
376,"The Warlord Wants Forever (Immortals After Dark, #0.5)","59,253",4.04,Kresley Cole,"1,570,",24
377,"One for the Money (Stephanie Plum, #1)","527,648",4.04,Janet Evanovich,"1,550,",24
378,"If I Were You (Inside Out, #1)","25,816",4.12,Lisa Renee Jones,"1,550,",19
379,"The Mane Squeeze (Pride, #4)","13,880",4.36,Shelly Laurenston,"1,540,",19
380,"Tempting the Beast (Breeds, #1; Feline Breeds, #1)","23,314",3.91,Lora Leigh,"1,528,",19
381,"Dragon Bound (Elder Races, #1)","48,397",4.08,Thea Harrison,"1,520,",21
382,"Devil's Bride (Cynster, #1)","21,160",4.08,Stephanie Laurens,"1,519,",21
383,"The Darkest Whisper (Lords of the Underworld, #4)","43,478",4.30,Gena Showalter,"1,505,",18
384,"Big Bad Beast (Pride, #6)","12,810",4.37,Shelly Laurenston,"1,497,",19
385,"Then Came You (The Gamblers of Craven's, #1)","29,140",3.96,Lisa Kleypas,"1,494,",21
386,The Witness,"77,124",4.23,Nora Roberts,"1,494,",26
387,"Broken Promises (Past Imperfect Mystery, #1)","2,787",4.25,Anne  Willow,"1,490,",16
388,"Nevermore (Nevermore, #1)","29,395",3.86,Kelly Creagh,"1,487,",19
389,Ravished,"19,544",4.02,Amanda Quick,"1,486,",21
390,The Undomestic Goddess,"285,631",3.85,Sophie Kinsella,"1,480,",20
391,Notice Me,516,4.27,Emem Uko,"1,477,",16
392,"Morrigan's Cross (Circle Trilogy, #1)","53,422",4.14,Nora Roberts,"1,472,",22
393,"The Darkest Secret (Lords of the Underworld, #7)","30,233",4.29,Gena Showalter,"1,470,",20
394,"Die for Me (Revenants, #1)","54,744",3.98,Amy Plum,"1,457,",21
395,The Duke of Shadows,"7,263",4.08,Meredith Duran,"1,451,",25
396,Play It Safe,"18,703",4.25,Kristen Ashley,"1,450,",25
397,"Comanche Moon (Comanche, #1)","9,036",4.12,Catherine Anderson,"1,450,",27
398,"Come Back to Me (Come Back to Me, #1)","13,181",4.20,Mila Gray,"1,436,",21
399,"Rock Me (Ross Siblings, #2)","45,950",4.07,Cherrie Lynn,"1,434,",20
400,"The Immortal Highlander (Highlander, #6)","35,809",4.30,Karen Marie Moning,"1,433,",20
401,"Slightly Dangerous (Bedwyn Saga, #6)","19,927",4.21,Mary Balogh,"1,431,",26
402,"Cinder (The Lunar Chronicles, #1)","854,942",4.13,Marissa Meyer,"1,431,",21
403,"Under the Never Sky (Under the Never Sky, #1)","113,115",3.99,Veronica Rossi,"1,427,",19
404,"Lover at Last (Black Dagger Brotherhood, #11)","67,884",4.30,J.R. Ward,"1,427,",20
405,"Beast Behaving Badly (Pride, #5)","15,112",4.41,Shelly Laurenston,"1,425,",18
406,"Callum & Harper (Sleepless, #1)","12,724",3.91,Fisher Amelie,"1,405,",18
407,"The Hunger Games (The Hunger Games, #1)","7,846,800",4.33,Suzanne Collins,"1,405,",20
408,The Scarlet Pimpernel,"131,339",4.07,Emmuska Orczy,"1,405,",18
409,"That Girl, Darcy: A Pride and Prejudice Story",247,3.74,James Ramos,"1,399,",14
410,"Tall, Tatted and Tempting (The Reed Brothers, #1)","28,637",4.20,Tammy Falkner,"1,395,",21
411,"The Score (Off-Campus, #3)","230,269",4.20,Elle Kennedy,"1,381,",35
412,"Sweet Sofie (The Moreno Brothers, #3)","7,839",3.88,Elizabeth Reyes,"1,377,",17
413,"The Black Lyon (Montgomery/Taggert, #1)","19,079",3.99,Jude Deveraux,"1,373,",21
414,"Arouse (Spiral of Bliss, #1)","15,276",4.01,Nina Lane,"1,369,",15
415,Strangers,"10,016",3.92,Barbara Elsborg,"1,366,",16
416,"Hometown Girl Forever (Hometown, #3)","1,034",4.31,Kirsten Fullmer,"1,365,",15
417,"The Magic of You (Malory-Anderson Family, #4)","14,792",4.18,Johanna Lindsey,"1,364,",16
418,"Hometown Girl After All (Hometown, #2)",997,4.31,Kirsten Fullmer,"1,360,",15
419,"Angels' Blood (Guild Hunter, #1)","88,373",4.08,Nalini Singh,"1,353,",18
420,"Lick (Stage Dive, #1)","86,089",4.08,Kylie Scott,"1,351,",19
421,"Poison Study (Study, #1)","159,729",4.10,Maria V. Snyder,"1,350,",16
422,"Driven (Driven, #1)","60,007",4.26,K. Bromberg,"1,349,",19
423,Where Dreams Begin,"14,516",3.98,Lisa Kleypas,"1,348,",18
424,"No Rest for the Wicked (Immortals After Dark, #2)","56,638",4.27,Kresley Cole,"1,336,",22
425,"The Golden Dynasty (Fantasyland, #2)","30,476",4.36,Kristen Ashley,"1,332,",16
426,"Pleasure of a Dark Prince (Immortals After Dark, #8)","43,516",4.38,Kresley Cole,"1,327,",21
427,"The Spymaster's Lady (Spymasters, #1)",avg,really,Joanna Bourne,"1,326,",15
428,"At Peace (The 'Burg, #2)","29,120",4.46,Kristen Ashley,"1,325,",16
429,"Ten Ways to Be Adored When Landing a Lord (Love By Numbers, #2)","25,510",3.88,Sarah MacLean,"1,307,",18
430,"Untamed (MacKinnon's Rangers, #2)","3,928",4.24,Pamela Clare,"1,298,",14
431,"Shadows (Lux, #0.5)","40,607",4.11,Jennifer L. Armentrout,"1,289,",17
432,"Just One Drop (The Grey Wolves, #3)","18,254",4.46,Quinn Loftis,"1,276,",15
433,The Guardian,"175,293",4.16,Nicholas Sparks,"1,267,",18
434,"Beautifully Damaged (Beautifully Damaged, #1)","29,932",3.98,L.A. Fiore,"1,266,",15
435,"Christmas in Smithville (Hometown, #4)",961,4.30,Kirsten Fullmer,"1,263,",14
436,"Hometown Girl at Heart (Hometown, #1)","4,099",4.29,Kirsten Fullmer,"1,261,",14
437,"Tiger's Curse (The Tiger Saga, #1)","61,861",4.05,Colleen Houck,"1,256,",15
438,"Not Quite a Husband (The Marsdens, #2)","9,364",3.82,Sherry Thomas,"1,255,",16
439,"An Offer From a Gentleman (Bridgertons, #3)","214,454",3.95,Julia Quinn,"1,254,",18
440,"The Mane Attraction (Pride, #3)","13,764",4.27,Shelly Laurenston,"1,251,",16
441,Birthright,"27,199",4.05,Nora Roberts,"1,247,",19
442,"Release Me (Stark Trilogy, #1)","78,440",4.11,J. Kenner,"1,243,",18
443,"The Gift (Crown's Spies, #3)","19,366",4.17,Julie Garwood,"1,230,",19
444,"Kiss of Midnight (Midnight Breed,  #1)","64,126",3.92,Lara Adrian,"1,230,",20
445,"Angelfall (Penryn & the End of Days, #1)","185,307",4.11,Susan Ee,"1,230,",21
446,Anna Karenina,"790,096",4.08,Leo Tolstoy,"1,223,",14
447,"Hostage to Pleasure (Psy-Changeling, #5)","30,793",4.19,Nalini Singh,"1,219,",18
448,"Edenbrooke (Edenbrooke, #1)","49,311",4.32,Julianne Donaldson,"1,217,",15
449,"Lover Reborn (Black Dagger Brotherhood, #10)","80,375",4.33,J.R. Ward,"1,202,",20
450,"What I Did for a Duke (Pennyroyal Green, #5)","13,777",4.16,Julie Anne Long,"1,201,",29
451,Caged,442,3.66,Shanna Ehrlich,"1,200,",12
452,"Inside Out (Brown Family, #3)","6,962",4.09,Lauren Dane,"1,197,",14
453,"Texas! Lucky (Texas! Tyler Family Saga, #1)","8,226",3.84,Sandra       Brown,"1,194,",17
454,"Home for Christmas (Christmas Romantic Comedy, #3)",573,3.87,Camilla Isley,"1,193,",12
455,"Love, Lex (The Undergrad Years, #1)","1,700",3.22,Avery Aster,"1,191,",12
456,Un Aquilone di Farfalle: Romanzo,71,4.68,Giulietta Esthel,"1,191,",12
457,Venetia,"16,715",4.11,Georgette Heyer,"1,188,",16
458,"The Vincent Brothers (The Vincent Boys, #2)","48,745",4.10,Abbi Glines,"1,182,",16
459,"Hometown Girl Again (Hometown, #5)",918,4.27,Kirsten Fullmer,"1,180,",13
460,"Blue Bloods (Blue Bloods, #1)","138,868",3.69,Melissa de la Cruz,"1,179,",16
461,The Reef,"19,845",3.95,Nora Roberts,"1,173,",18
462,"The Kiss Quotient (The Kiss Quotient, #1)","364,807",3.93,Helen Hoang,"1,171,",14
463,"Cry Wolf (Alpha & Omega, #1)","98,835",4.12,Patricia Briggs,"1,170,",17
464,"The Darkest Hour (KGI, #1)","25,973",4.14,Maya Banks,"1,169,",16
465,"Sweet Filthy Boy (Wild Seasons, #1)","47,451",4.03,Christina Lauren,"1,169,",16
466,"Appetizers (The Winemaker's Dinner, #1)",839,3.88,Ivan Rusilko,"1,163,",12
467,"Gibson's Legacy (Last Score, #1)",785,4.01,K.L. Shandwick,"1,159,",12
468,"Own the Wind (Chaos, #1)","47,751",4.20,Kristen Ashley,"1,158,",18
469,"A Wallflower Christmas (Wallflowers, #4.5)","25,098",3.87,Lisa Kleypas,"1,156,",17
470,Enough Isn't Everything (The Everything Trilogy #1),497,4.06,K.L. Shandwick,"1,152,",12
471,"Angel (Angel, #1)","32,481",3.86,L.A. Weatherly,"1,148,",15
472,"Wicked Intentions (Maiden Lane, #1)","18,255",3.82,Elizabeth Hoyt,"1,135,",16
473,"The Billionaire Wins the Game (Billionaire Bachelors, #1)","21,209",3.95,Melody Anne,"1,128,",13
474,Public Secrets,"18,314",4.10,Nora Roberts,"1,123,",19
475,The Guernsey Literary and Potato Peel Pie Society,"711,855",4.19,Mary Ann Shaffer,"1,123,",14
476,"If You Deceive (MacCarrick Brothers, #3)","12,792",4.15,Kresley Cole,"1,107,",17
477,"Vicious (Sinners of Saint, #1)",avg,really,L.J. Shen,"1,107,",16
478,My One and Only,"16,019",3.95,Kristan Higgins,"1,101,",15
479,"Starcrossed (Starcrossed, #1)","71,109",4.05,Josephine Angelini,"1,100,",16
480,"A Reclusive Heart (Hollywood Hearts, #2)","11,279",4.19,R.L. Mathewson,"1,100,",15
481,"Dance with the Devil (Dark-Hunter, #3)","64,042",4.37,Sherrilyn Kenyon,"1,099,",19
482,"About That Night (FBI/US Attorney, #3)","24,443",4.04,Julie James,"1,099,",15
483,"The Leopard Prince (Princes Trilogy, #2)","10,495",3.87,Elizabeth Hoyt,"1,094,",16
484,"Mercy (Mercy, #1)","2,100",3.89,Lucian Bane,"1,094,",11
485,Seven Days with You,33,4.39,Hd,"1,093,",11
486,"Into the Wilderness (Wilderness, #1)","39,538",4.11,Sara Donati,"1,072,",12
487,"The Darkest Seduction (Lords of the Underworld, #9)","26,911",4.32,Gena Showalter,"1,065,",15
488,"The Goddess Test (Goddess Test, #1)","57,446",3.80,Aimee Carter,"1,063,",14
489,"Double Clutch (Brenna Blixen, #1)","6,836",3.72,Liz Reinhardt,"1,059,",13
490,"Beard in Mind (Winston Brothers, #4)","23,516",4.20,Penny Reid,"1,054,",20
491,"The Wedding (The Notebook, #2)","153,110",3.99,Nicholas Sparks,"1,049,",14
492,"Something Borrowed (Darcy & Rachel, #1)","556,975",3.87,Emily Giffin,"1,048,",14
493,"Every Day (Every Day, #1)","224,509",3.91,David Levithan,"1,042,",13
494,"To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1)","784,811",4.06,Jenny Han,"1,030,",14
495,Message in a Bottle,"230,579",3.97,Nicholas Sparks,"1,025,",14
496,"Hard and Fast (Fast Track, #2)","10,274",4.03,Erin McCarthy,"1,024,",14
497,"Giving Chase (Chase Brothers, #1)","10,914",3.90,Lauren Dane,"1,020,",13
498,"Fugly (Fugly, #1)","5,135",3.91,Mimi Jean Pamfiloff,"1,020,",11
499,"Breaking Point (I-Team, #5)","10,762",4.31,Pamela Clare,"1,016,",16
500,"Call Me By Your Name (Call Me By Your Name, #1)","420,606",4.12,André Aciman,"1,015,",13
501,"A Hunger Like No Other (Immortals After Dark, #1)","79,584",4.12,Kresley Cole,"1,012,",16
502,"The Simple Wild (Wild, #1)","85,330",4.33,K.A. Tucker,"1,011,",22
503,"A Certain Slant of Light (Light, #1)","19,257",3.83,Laura Whitcomb,"1,010,",12
504,"Between the Lines (Between the Lines, #1)","27,235",3.70,Tammara Webber,"1,006,",12
505,"Radiance (Wraith Kings, #1)","52,636",4.03,Grace Draven,"1,004,",13
506,"The Great Escape (Wynette, Texas, #7)","14,287",3.85,Susan Elizabeth Phillips,"999,",21
507,"Fire of Stars and Dragons (Stars and Souls, #1)",363,3.60,Melissa Petreshock,"999,",10
508,Exit Unicorns,"1,343",3.98,Cindy Brandner,"998,",10
509,"Kissing Under the Mistletoe (San Francisco Sullivans, #9; The Sullivans, #9)","5,104",4.26,Bella Andre,"997,",11
510,The Longest Ride,"131,436",4.16,Nicholas Sparks,"997,",12
511,"Trancing the Tiger (Chinese Zodiac Romance, #1)",426,3.85,Rachael Slate,"994,",10
512,"Shelter Mountain (Virgin River, #2)","39,185",4.17,Robyn Carr,"993,",14
513,Nick & Norah's Infinite Playlist,"83,279",3.70,Rachel Cohn,"990,",15
514,"Lady Luck (Colorado Mountain, #3)","38,492",4.40,Kristen Ashley,"990,",14
515,November 9,"726,007",4.23,Colleen Hoover,"986,",12
516,"Rubinrot (Edelstein-Trilogie, #1)","142,197",4.12,Kerstin Gier,"982,",12
517,"The Unsung Hero (Troubleshooters, #1)","14,498",4.05,Suzanne Brockmann,"979,",13
518,"El Diablo II (El Diablo, #2)","2,087",4.21,M. Robinson,"976,",10
519,Girl with a Pearl Earring,"706,988",3.92,Tracy Chevalier,"975,",12
520,"Chesapeake Blue (Chesapeake Bay Saga, #4)","33,517",4.19,Nora Roberts,"973,",13
521,A Seacat's Love,54,4.46,Jessica A.  Kong,"970,",10
522,"When a Scot Ties the Knot (Castles Ever After, #3)","33,665",3.94,Tessa Dare,"967,",13
523,"Every Breath You Take (Second Opportunities, #4)","10,911",3.90,Judith McNaught,"965,",13
524,"Fallen in Love (Fallen, #3.5)","43,918",3.75,Lauren Kate,"965,",12
525,"The Air He Breathes (Elements, #1)","59,479",4.16,Brittainy C. Cherry,"964,",13
526,"Heartbreaker (Buchanan-Renard, #1)","26,830",4.05,Julie Garwood,"962,",17
527,"Midnight Awakening (Midnight Breed, #3)","42,093",4.23,Lara Adrian,"962,",17
528,"Red, White & Royal Blue","685,686",4.13,Casey McQuiston,"962,",13
529,"The Rosie Project (Don Tillman, #1)","526,289",4.02,Graeme Simsion,"952,",14
530,The Rose Garden,"31,376",4.03,Susanna Kearsley,"944,",13
531,You Don't Have to Say You Love Me,"17,211",3.96,Sarra Manning,"942,",11
532,Willing Captive,"20,712",4.07,Belle Aurora,"940,",12
533,"Falling Under (Falling Under, #1)","16,538",3.78,Gwen Hayes,"938,",10
534,Dancing on Coals,"4,637",4.15,Ellen O'Connell,"937,",25
535,Stepbrother Dearest,"67,307",4.05,Penelope Ward,"936,",14
536,"Vicious Circles (Wrong Reasons, #2)","2,981",4.02,J.L. Paul,"927,",12
537,From Lukov with Love,"181,477",4.31,Mariana Zapata,"923,",12
538,"Poughkeepsie (Poughkeepsie Brotherhood, #1)","12,473",3.91,Debra Anastasia,"922,",12
539,"Trying to Score (Assassins, #2)","13,569",4.04,Toni Aleo,"914,",11
540,"Lead (Stage Dive, #3)","47,714",4.27,Kylie Scott,"914,",14
541,"Lola and the Boy Next Door (Anna and the French Kiss, #2)","161,326",3.92,Stephanie Perkins,"913,",13
542,"Sweet Release (Blakewell/Kenleigh Family Trilogy, #1)","3,442",3.87,Pamela Clare,"910,",11
543,"Last Sacrifice (Vampire Academy, #6)","277,981",4.38,Richelle Mead,"909,",12
544,"Breathe (Colorado Mountain, #4)","36,715",4.34,Kristen Ashley,"907,",14
545,The Wreck,"4,853",4.18,Marie Force,"906,",12
546,"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante, #1)","516,165",4.33,Benjamin Alire Sáenz,"903,",11
547,"Wings (Wings, #1)","79,306",3.76,Aprilynne Pike,"900,",14
548,"All My Life (First Things, #1)","1,748",3.52,Rucy Ban,"900,",9
549,"Written in Red (The Others, #1)","57,810",4.25,Anne Bishop,"898,",11
550,The Tenant of Wildfell Hall,"106,633",3.99,Anne Brontë,"897,",9
551,"The Trouble With Valentine's Day (Chinooks Hockey Team, #3)","13,650",3.92,Rachel Gibson,"892,",13
552,"Inner Harbor (Chesapeake Bay Saga, #3)","33,319",4.18,Nora Roberts,"889,",15
553,"Born in Shame (Born In Trilogy, #3)","34,536",4.10,Nora Roberts,"889,",11
554,Rainwater,"16,569",4.05,Sandra       Brown,"887,",13
555,My Life Next Door,"148,775",3.98,Huntley Fitzpatrick,"887,",13
556,"The Perfect Hope (Inn Boonsboro Trilogy, #3)","44,448",4.17,Nora Roberts,"886,",13
557,"Ella Enchanted (Ella Enchanted, #1)",avg,really,Gail Carson Levine,"886,",11
558,"The Marriage Mistake (Marriage to a Billionaire, #3)","27,255",3.93,Jennifer Probst,"883,",12
559,"The Iron King (The Iron Fey, #1)","207,576",3.88,Julie Kagawa,"882,",14
560,"Heart of the Sea (Gallaghers of Ardmore, #3)","31,127",4.15,Nora Roberts,"881,",12
561,Perfectly Imperfect,161,3.93,Fabiola Francisco,"877,",9
562,"Beautifully Cruel (Beautifully Cruel, #1)","34,953",4.17,J.T. Geissinger,"870,",17
563,"Never Never (Never Never, #1)",avg,really,Colleen Hoover,"869,",12
564,Highland Velvet (Velvet Montgomery Annuals Tetralogy #2),"13,099",4.07,Jude Deveraux,"866,",11
565,The Best of Me,"165,998",3.96,Nicholas Sparks,"865,",11
566,"The Governess Affair (Brothers Sinister, #0.5)","17,502",3.85,Courtney Milan,"864,",13
567,"Him (Him, #1)","52,094",4.28,Sarina Bowen,"864,",11
568,"Confessions of a Shopaholic (Shopaholic, #1)","717,456",3.68,Sophie Kinsella,"863,",10
